name,symbol,price_usd,percent_change_24h,market_cap_usd
Bitcoin,BTC,109783.52174334263,2.0918996,2181410214093.523
Ethereum,ETH,2564.8665192978856,1.96968515,309645800373.0222
Tether USDt,USDT,1.00041962936656,0.03287071,152797045990.75125
XRP,XRP,2.3411329786050064,1.73171301,137391747053.95508
BNB,BNB,674.3388222992929,1.56163597,95006291147.04402
Solana,SOL,177.7047739357714,3.10983564,92478825079.00862
USDC,USDC,0.9997519018535479,-0.00732044,61621894000.82966
Dogecoin,DOGE,0.22585564127268645,2.40094353,33748028927.68446
Cardano,ADA,0.7692074356032861,3.5313082,27179571277.191853
TRON,TRX,0.2745548855503356,0.45061438,26048967991.14678
Hyperliquid,HYPE,38.121266149117176,3.6858096,12729765024.470306
Sui,SUI,3.5702617869947657,0.81398412,11918701384.54221
Chainlink,LINK,15.690498037741744,3.26558518,10310225796.989607
Avalanche,AVAX,23.63851123651012,5.37932893,9954683868.445549
Stellar,XLM,0.28830721674088494,1.92813436,8970916360.053932
Shiba Inu,SHIB,1.4501965022682653e-05,1.3424329,8545279103.857957
Bitcoin Cash,BCH,419.78112193404877,1.25036828,8343092078.534953
UNUS SED LEO,LEO,8.887803568330451,-0.14744505,8206727900.400991
Hedera,HBAR,0.19051215758347118,3.00997969,8047187902.764944
Monero,XMR,412.9961738604016,1.31866306,7618434722.624083
Toncoin,TON,2.969565510062431,-0.51877217,7398329341.043505
Litecoin,LTC,97.1114098014257,2.1792614,7370359253.658346
Polkadot,DOT,4.528001061886589,1.11116725,7159134982.091573
Bitget Token,BGB,5.360800908666768,-0.43557024,6272100015.717199
Pepe,PEPE,1.3943372966231685e-05,5.91809323,5865836173.99594
