date,name,symbol,price_usd,percent_change_24h,market_cap_usd
5/23/2025,Bitcoin,BTC,109994.124,-0.64586555,2.18544E+12
5/23/2025,Ethereum,ETH,2612.25593,-1.44228555,3.15368E+11
5/23/2025,Tether USDt,USDT,0.999981742,0.01328631,1.52486E+11
5/23/2025,XRP,XRP,2.417860797,-0.11795063,1.41895E+11
5/23/2025,BNB,BNB,678.0181137,-1.31992108,95524798036
5/23/2025,Solana,SOL,182.9148856,2.73100219,95145932266
5/23/2025,USDC,USDC,0.999869417,0.0051076,61183269303
5/23/2025,Dogecoin,DOGE,0.242111941,0.79406742,36167106924
5/23/2025,Cardano,ADA,0.804658919,0.55632365,28423901479
5/23/2025,TRON,TRX,0.270776635,-2.85556239,25691322734
5/23/2025,Sui,SUI,3.800580325,-5.21457316,12687579981
5/23/2025,Hyperliquid,HYPE,36.51026823,18.53760927,12191807423
5/23/2025,Chainlink,LINK,16.81155607,1.74361634,11046872998
5/23/2025,Avalanche,AVAX,25.25603035,0.58161048,10634509647
5/23/2025,Stellar,XLM,0.300227896,-0.30866407,9335633911
5/23/2025,Shiba Inu,SHIB,1.53E-05,0.57907112,9036587603
5/23/2025,Bitcoin Cash,BCH,437.3667816,0.95030158,8692030603
5/23/2025,Hedera,HBAR,0.203818709,0.39127436,8609253435
5/23/2025,UNUS SED LEO,LEO,8.791475626,-0.91635674,8117962699
5/23/2025,Toncoin,TON,3.123162208,-1.07692059,7780147973
5/23/2025,Polkadot,DOT,4.868811917,0.00519568,7693063817
5/23/2025,Litecoin,LTC,99.99104059,1.76140419,7587784067
5/23/2025,Monero,XMR,394.4125829,-1.77584927,7275627977
5/23/2025,Bitget Token,BGB,5.651406111,7.0631957,6612106094
5/23/2025,Pepe,PEPE,1.53E-05,5.74078198,6439325226
