date,name,symbol,price_usd,percent_change_24h,market_cap_usd
5/25/2025,Bitcoin,BTC,107404.3458,-0.47167681,2.13408E+12
5/25/2025,Ethereum,ETH,2489.525423,-2.37094793,3.0055E+11
5/25/2025,Tether USDt,USDT,1.000055249,-0.00405856,1.52741E+11
5/25/2025,XRP,XRP,2.299136859,-1.66145272,1.34927E+11
5/25/2025,BNB,BNB,659.6964503,-1.66266808,92943413833
5/25/2025,Solana,SOL,171.5389524,-1.34024606,89248982552
5/25/2025,USDC,USDC,0.999743567,-0.0153859,61710127008
5/25/2025,Dogecoin,DOGE,0.21973227,-3.14717232,32829547282
5/25/2025,Cardano,ADA,0.734052462,-2.93204164,25937387368
5/25/2025,TRON,TRX,0.271931833,0.20052232,25800473758
5/25/2025,Sui,SUI,3.564521204,-2.17120206,11899537443
5/25/2025,Hyperliquid,HYPE,34.56759891,0.91645001,11543095390
5/25/2025,Chainlink,LINK,15.19400177,-3.20306084,9983978117
5/25/2025,Avalanche,AVAX,22.3398252,-2.83263058,9407492288
5/25/2025,Stellar,XLM,0.281620682,-2.77976828,8762863134
5/25/2025,Shiba Inu,SHIB,1.43E-05,-0.32531886,8449230140
5/25/2025,Bitcoin Cash,BCH,418.2397216,-2.34847018,8312251759
5/25/2025,UNUS SED LEO,LEO,8.835416984,0.57582316,8158408211
5/25/2025,Hedera,HBAR,0.186509351,-2.24858786,7878110312
5/25/2025,Toncoin,TON,2.983596016,-1.2485824,7432972432
5/25/2025,Monero,XMR,402.6048076,0.39098927,7426747848
5/25/2025,Litecoin,LTC,94.62487045,-2.29118821,7181237145
5/25/2025,Polkadot,DOT,4.471037799,-2.65007837,7067425790
5/25/2025,Bitget Token,BGB,5.413341558,-0.78798074,6333572213
5/25/2025,Pepe,PEPE,1.34E-05,-2.93042864,5640335820
